web-scraper-order,web-scraper-start-url,categorie 1,categorie 2,categorie 2-href,categorie 3,categorie 3-href
1612544972-1268,https://web.archive.org/web/20210113171342/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/theme/1/1,Argent,"Impôts, taxes et douanes",https://web.archive.org/web/20210113171342/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/sou_theme/1/1/1,Demander un remboursement d’impôts directs,https://web.archive.org/web/20201021182219/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/614/1/1
1612544972-1267,https://web.archive.org/web/20210113171342/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/theme/1/1,Argent,"Impôts, taxes et douanes",https://web.archive.org/web/20210113171342/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/sou_theme/1/1/1,Demander un remboursement d’impôts directs,https://web.archive.org/web/20201021182219/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/614/1/1
1612544972-1266,https://web.archive.org/web/20210113171342/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/theme/1/1,Argent,"Impôts, taxes et douanes",https://web.archive.org/web/20210113171342/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/sou_theme/1/1/1,Faire une déclaration de revenus fonciers,https://web.archive.org/web/20201021182219/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/591/1/1
1612544972-1265,https://web.archive.org/web/20210113171342/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/theme/1/1,Argent,"Impôts, taxes et douanes",https://web.archive.org/web/20210113171342/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/sou_theme/1/1/1,S'acquitter de la taxe publicitaire,https://web.archive.org/web/20201021182219/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/571/1/1
1612544972-1264,https://web.archive.org/web/20210113171342/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/theme/1/1,Argent,"Impôts, taxes et douanes",https://web.archive.org/web/20210113171342/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/sou_theme/1/1/1,Demander une remise gracieuse d’impôt,https://web.archive.org/web/20201021182219/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/532/1/1
1612544972-1263,https://web.archive.org/web/20210113171342/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/theme/1/1,Argent,"Impôts, taxes et douanes",https://web.archive.org/web/20210113171342/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/sou_theme/1/1/1,Demander un remboursement d'impôts,https://web.archive.org/web/20201021182219/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/528/1/1
1612544972-1262,https://web.archive.org/web/20210113171342/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/theme/1/1,Argent,"Impôts, taxes et douanes",https://web.archive.org/web/20210113171342/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/sou_theme/1/1/1,"Demander l’assiette de l’impôt sur le foncier bâti, le foncier non bâti, la contribution globale unique (CGU), la taxe d’enlèvement des ordures ménagères (TEOM) et les autres impôts directs",https://web.archive.org/web/20201021182219/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/527/1/1
1612544972-1261,https://web.archive.org/web/20210113171342/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/theme/1/1,Argent,"Impôts, taxes et douanes",https://web.archive.org/web/20210113171342/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/sou_theme/1/1/1,Obtenir un visa en exonération de la taxe sur la valeur ajoutée (TVA),https://web.archive.org/web/20201021182219/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/508/1/1
1612544972-1260,https://web.archive.org/web/20210113171342/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/theme/1/1,Argent,"Impôts, taxes et douanes",https://web.archive.org/web/20210113171342/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/sou_theme/1/1/1,Payer la taxe d'enlèvement des ordures ménagères (TEOM),https://web.archive.org/web/20201021182219/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/507/1/1
1612544972-1259,https://web.archive.org/web/20210113171342/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/theme/1/1,Argent,"Impôts, taxes et douanes",https://web.archive.org/web/20210113171342/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/sou_theme/1/1/1,Déclarer ses revenus,https://web.archive.org/web/20201021182219/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/506/1/1
1612544972-1258,https://web.archive.org/web/20210113171342/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/theme/1/1,Argent,"Impôts, taxes et douanes",https://web.archive.org/web/20210113171342/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/sou_theme/1/1/1,Payer une taxe auprès du receveur des domaines,https://web.archive.org/web/20201021182219/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/505/1/1
1612544972-1257,https://web.archive.org/web/20210113171342/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/theme/1/1,Argent,"Impôts, taxes et douanes",https://web.archive.org/web/20210113171342/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/sou_theme/1/1/1,S'acquitter du paiement de la quittance correspondant au timbre du passeport,https://web.archive.org/web/20201021182219/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/504/1/1
1612544972-1256,https://web.archive.org/web/20210113171342/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/theme/1/1,Argent,"Impôts, taxes et douanes",https://web.archive.org/web/20210113171342/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/sou_theme/1/1/1,Demander une attestation d'imposition à la contribution foncière des propriétés bâties (CFBT) et à la taxe d'enlèvement des ordures ménagères (TEOM).,https://web.archive.org/web/20201021182219/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/403/1/1
1612544972-1255,https://web.archive.org/web/20210113171342/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/theme/1/1,Argent,"Impôts, taxes et douanes",https://web.archive.org/web/20210113171342/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/sou_theme/1/1/1,Demander une prise en charge des taxes et droits de douane,https://web.archive.org/web/20201021182219/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/232/1/1
1612544945-1254,https://web.archive.org/web/20210113171342/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/theme/1/1,Argent,"Assurances, achats, abonnements et factures",https://web.archive.org/web/20210113171342/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/sou_theme/1/3/1,Comment faire une réclamation suivie d’un étalonnage de compteur à la Sénégalaise Des Eaux (SDE),https://web.archive.org/web/20200815202547/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/932/1/3
1612544945-1253,https://web.archive.org/web/20210113171342/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/theme/1/1,Argent,"Assurances, achats, abonnements et factures",https://web.archive.org/web/20210113171342/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/sou_theme/1/3/1,Demander une résiliation de contrat d’abonnement d’eau à la  Sénégalaise des Eaux (SDE),https://web.archive.org/web/20200815202547/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/931/1/3
1612544945-1252,https://web.archive.org/web/20210113171342/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/theme/1/1,Argent,"Assurances, achats, abonnements et factures",https://web.archive.org/web/20210113171342/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/sou_theme/1/3/1,Demander un branchement social à la SDE,https://web.archive.org/web/20200815202547/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/930/1/3
1612544945-1251,https://web.archive.org/web/20210113171342/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/theme/1/1,Argent,"Assurances, achats, abonnements et factures",https://web.archive.org/web/20210113171342/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/sou_theme/1/3/1,Demander un branchement eau à la SDE : cas d’une personne physique,https://web.archive.org/web/20200815202547/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/929/1/3
1612544945-1250,https://web.archive.org/web/20210113171342/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/theme/1/1,Argent,"Assurances, achats, abonnements et factures",https://web.archive.org/web/20210113171342/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/sou_theme/1/3/1,Demander un branchement eau à la SDE : cas d’une personne morale,https://web.archive.org/web/20200815202547/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/928/1/3
1612544945-1249,https://web.archive.org/web/20210113171342/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/theme/1/1,Argent,"Assurances, achats, abonnements et factures",https://web.archive.org/web/20210113171342/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/sou_theme/1/3/1,Comment devenir agent général d’assurance,https://web.archive.org/web/20200815202547/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/920/1/3
1612544945-1248,https://web.archive.org/web/20210113171342/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/theme/1/1,Argent,"Assurances, achats, abonnements et factures",https://web.archive.org/web/20210113171342/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/sou_theme/1/3/1,S’acquitter des droits de timbre sur états,https://web.archive.org/web/20200815202547/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/745/1/3
1612544945-1247,https://web.archive.org/web/20210113171342/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/theme/1/1,Argent,"Assurances, achats, abonnements et factures",https://web.archive.org/web/20210113171342/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/sou_theme/1/3/1,Comment obtenir l'aide d'un médiateur financier,https://web.archive.org/web/20200815202547/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/669/1/3
1612544945-1246,https://web.archive.org/web/20210113171342/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/theme/1/1,Argent,"Assurances, achats, abonnements et factures",https://web.archive.org/web/20210113171342/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/sou_theme/1/3/1,Demander la fourniture d'électricité à la Sénélec,https://web.archive.org/web/20200815202547/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/421/1/3
1612544917-1245,https://web.archive.org/web/20210113171342/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/theme/1/1,Argent,"Banque, crédit et épargne",https://web.archive.org/web/20210113171342/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/sou_theme/1/5/1,Obtenir des informations sur la qualité des services offerts par les institutions financières au Sénégal,https://web.archive.org/web/20201022121853/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/1172/1/5
1612544917-1244,https://web.archive.org/web/20210113171342/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/theme/1/1,Argent,"Banque, crédit et épargne",https://web.archive.org/web/20210113171342/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/sou_theme/1/5/1,Bénéficier du refinancement et du fonds de garantie au Fonds de Promotion Economique,https://web.archive.org/web/20201022121853/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/1140/1/5
1612544917-1243,https://web.archive.org/web/20210113171342/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/theme/1/1,Argent,"Banque, crédit et épargne",https://web.archive.org/web/20210113171342/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/sou_theme/1/5/1,Bénéficier d’un financement participatif du Fonds de Promotion Economique (FPE),https://web.archive.org/web/20201022121853/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/1139/1/5
1612544917-1242,https://web.archive.org/web/20210113171342/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/theme/1/1,Argent,"Banque, crédit et épargne",https://web.archive.org/web/20210113171342/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/sou_theme/1/5/1,Faire un cautionnement pour soumissionner à un marché public à la Caisse des Dépôts et Consignations (CDC),https://web.archive.org/web/20201022121853/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/1132/1/5
1612544917-1241,https://web.archive.org/web/20210113171342/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/theme/1/1,Argent,"Banque, crédit et épargne",https://web.archive.org/web/20210113171342/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/sou_theme/1/5/1,Accéder à un micro-crédit du Fonds de Développement et de Solidarité Municipal  (FODEM),https://web.archive.org/web/20201022121853/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/862/1/5
1612544917-1240,https://web.archive.org/web/20210113171342/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/theme/1/1,Argent,"Banque, crédit et épargne",https://web.archive.org/web/20210113171342/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/sou_theme/1/5/1,Comment bénéficier de la convention de garantie Fonds national de promotion de la jeunesse / Banque régionale de solidarité,https://web.archive.org/web/20201022121853/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/786/1/5
1612544917-1239,https://web.archive.org/web/20210113171342/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/theme/1/1,Argent,"Banque, crédit et épargne",https://web.archive.org/web/20210113171342/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/sou_theme/1/5/1,Demander un virement de salaire à la banque,https://web.archive.org/web/20201022121853/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/775/1/5
1612544917-1238,https://web.archive.org/web/20210113171342/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/theme/1/1,Argent,"Banque, crédit et épargne",https://web.archive.org/web/20210113171342/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/sou_theme/1/5/1,Demander une inscription en hypothèque ou autre cause d’indisponibilité,https://web.archive.org/web/20201022121853/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/744/1/5
1612544917-1237,https://web.archive.org/web/20210113171342/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/theme/1/1,Argent,"Banque, crédit et épargne",https://web.archive.org/web/20210113171342/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/sou_theme/1/5/1,Comment obtenir l'aide d'un médiateur financier,https://web.archive.org/web/20201022121853/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/669/1/5
1612544917-1236,https://web.archive.org/web/20210113171342/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/theme/1/1,Argent,"Banque, crédit et épargne",https://web.archive.org/web/20210113171342/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/sou_theme/1/5/1,Demander l’autorisation de nantir un logement SN-HLM ou une parcelle assainie,https://web.archive.org/web/20201022121853/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/648/1/5
1612544917-1235,https://web.archive.org/web/20210113171342/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/theme/1/1,Argent,"Banque, crédit et épargne",https://web.archive.org/web/20210113171342/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/sou_theme/1/5/1,Demander un visa de domiciliation de salaire,https://web.archive.org/web/20201022121853/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/516/1/5
1612544917-1234,https://web.archive.org/web/20210113171342/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/theme/1/1,Argent,"Banque, crédit et épargne",https://web.archive.org/web/20210113171342/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/sou_theme/1/5/1,Demander un financement du Fonds national de promotion de l'entreprenariat féminin,https://web.archive.org/web/20201022121853/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/485/1/5
1612544917-1233,https://web.archive.org/web/20210113171342/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/theme/1/1,Argent,"Banque, crédit et épargne",https://web.archive.org/web/20210113171342/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/sou_theme/1/5/1,Demander une attestation d'apport à la Société nationale des habitations à loyer modéré (SN-HLM),https://web.archive.org/web/20201022121853/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/274/1/5
1612544917-1232,https://web.archive.org/web/20210113171342/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/theme/1/1,Argent,"Banque, crédit et épargne",https://web.archive.org/web/20210113171342/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/sou_theme/1/5/1,Demander une cession volontaire sur salaire,https://web.archive.org/web/20201022121853/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/243/1/5
1612544917-1231,https://web.archive.org/web/20210113171342/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/theme/1/1,Argent,"Banque, crédit et épargne",https://web.archive.org/web/20210113171342/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/sou_theme/1/5/1,Souscrire aux bons du trésor,https://web.archive.org/web/20201022121853/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/237/1/5
1612544917-1230,https://web.archive.org/web/20210113171342/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/theme/1/1,Argent,"Banque, crédit et épargne",https://web.archive.org/web/20210113171342/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/sou_theme/1/5/1,Demander une attestation d'inscription dans un programme immobilier de la SICAP SA,https://web.archive.org/web/20201022121853/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/230/1/5
