web-scraper-order,web-scraper-start-url,categorie 1,categorie 2,categorie 2-href,categorie 3,categorie 3-href
1612634867-1925,https://web.archive.org/web/20201128194732/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/theme/2/18,Activités de l'entreprise,"Exportations, importations, transit et droits de douane",https://web.archive.org/web/20201128194732/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/sou_theme/2/198/18,Demander la réception par type d’un nouveau modèle de véhicule automobile et motocycliste importé,https://web.archive.org/web/20200216203636/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/2/487/18/198
1612634867-1924,https://web.archive.org/web/20201128194732/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/theme/2/18,Activités de l'entreprise,"Exportations, importations, transit et droits de douane",https://web.archive.org/web/20201128194732/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/sou_theme/2/198/18,Faire une déclaration d'importation de produits alimentaires,https://web.archive.org/web/20200216203636/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/2/241/18/198
1612634867-1923,https://web.archive.org/web/20201128194732/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/theme/2/18,Activités de l'entreprise,"Exportations, importations, transit et droits de douane",https://web.archive.org/web/20201128194732/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/sou_theme/2/198/18,Demander une autorisation préalable d'importation pour certains produits,https://web.archive.org/web/20200216203636/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/2/240/18/198
1612634867-1922,https://web.archive.org/web/20201128194732/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/theme/2/18,Activités de l'entreprise,"Exportations, importations, transit et droits de douane",https://web.archive.org/web/20201128194732/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/sou_theme/2/198/18,Demander un certificat de qualité pour l'exportation du sel,https://web.archive.org/web/20200216203636/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/2/239/18/198
1612634867-1921,https://web.archive.org/web/20201128194732/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/theme/2/18,Activités de l'entreprise,"Exportations, importations, transit et droits de douane",https://web.archive.org/web/20201128194732/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/sou_theme/2/198/18,Demander un certificat d'origine pour l'exportation,https://web.archive.org/web/20200216203636/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/2/238/18/198
1612634867-1920,https://web.archive.org/web/20201128194732/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/theme/2/18,Activités de l'entreprise,"Exportations, importations, transit et droits de douane",https://web.archive.org/web/20201128194732/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/sou_theme/2/198/18,Demander une prise en charge des taxes et droits de douane,https://web.archive.org/web/20200216203636/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/2/232/18/198
1612634867-1919,https://web.archive.org/web/20201128194732/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/theme/2/18,Activités de l'entreprise,"Exportations, importations, transit et droits de douane",https://web.archive.org/web/20201128194732/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/sou_theme/2/198/18,Demander l'agrément au statut d’entreprise franche d’exportation (EFE),https://web.archive.org/web/20200216203636/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/2/37/18/198
1612634867-1918,https://web.archive.org/web/20201128194732/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/theme/2/18,Activités de l'entreprise,"Exportations, importations, transit et droits de douane",https://web.archive.org/web/20201128194732/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/sou_theme/2/198/18,Demander une carte d'import-export,https://web.archive.org/web/20200216203636/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/2/24/18/198
1612634845-1917,https://web.archive.org/web/20201128194732/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/theme/2/18,Activités de l'entreprise,Investissement au Sénégal,https://web.archive.org/web/20201128194732/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/sou_theme/2/196/18,"Demander à l'Agence d'aménagement et de promotion des sites industriels (Aprosi), accompagnement et assistance, dans l'identification et l'aménagement de sites industriels ou de plates-formes économiques",https://web.archive.org/web/20200217220428/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/2/1013/18/196
1612634845-1916,https://web.archive.org/web/20201128194732/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/theme/2/18,Activités de l'entreprise,Investissement au Sénégal,https://web.archive.org/web/20201128194732/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/sou_theme/2/196/18,Demander l’acquisition d’un site industriel en location-vente à l’Agence d’aménagement et de promotion des sites industriels (APROSI),https://web.archive.org/web/20200217220428/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/2/889/18/196
1612634845-1915,https://web.archive.org/web/20201128194732/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/theme/2/18,Activités de l'entreprise,Investissement au Sénégal,https://web.archive.org/web/20201128194732/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/sou_theme/2/196/18,Demander une étude de faisabilité d’un projet d’entreprise industrielle  à l’Agence d’aménagement et de promotion des sites industriels (APROSI),https://web.archive.org/web/20200217220428/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/2/880/18/196
1612634845-1914,https://web.archive.org/web/20201128194732/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/theme/2/18,Activités de l'entreprise,Investissement au Sénégal,https://web.archive.org/web/20201128194732/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/sou_theme/2/196/18,Demander une assistance à la création d’une entreprise individuelle,https://web.archive.org/web/20200217220428/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/2/586/18/196
1612634845-1913,https://web.archive.org/web/20201128194732/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/theme/2/18,Activités de l'entreprise,Investissement au Sénégal,https://web.archive.org/web/20201128194732/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/sou_theme/2/196/18,Créer une société à responsabilité limitée (SARL) ou une société anonyme (SA),https://web.archive.org/web/20200217220428/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/2/584/18/196
1612634845-1912,https://web.archive.org/web/20201128194732/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/theme/2/18,Activités de l'entreprise,Investissement au Sénégal,https://web.archive.org/web/20201128194732/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/sou_theme/2/196/18,Créer une société en nom collectif (SNC) ou une société en commandite simple (SCS),https://web.archive.org/web/20200217220428/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/2/582/18/196
1612634845-1911,https://web.archive.org/web/20201128194732/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/theme/2/18,Activités de l'entreprise,Investissement au Sénégal,https://web.archive.org/web/20201128194732/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/sou_theme/2/196/18,Demander une autorisation de lotissement,https://web.archive.org/web/20200217220428/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/2/128/18/196
1612634845-1910,https://web.archive.org/web/20201128194732/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/theme/2/18,Activités de l'entreprise,Investissement au Sénégal,https://web.archive.org/web/20201128194732/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/sou_theme/2/196/18,Demander un agrément au code des investissements (CI),https://web.archive.org/web/20200217220428/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/2/38/18/196
1612634827-1909,https://web.archive.org/web/20201128194732/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/theme/2/18,Activités de l'entreprise,"Normalisation, qualité, agréments, autorisations et licences",https://web.archive.org/web/20201128194732/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/sou_theme/2/169/18,Demander une attestation d'agrément pour les produits phytosanitaires,https://web.archive.org/web/20200216201518/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/2/216/18/169
1612634827-1908,https://web.archive.org/web/20201128194732/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/theme/2/18,Activités de l'entreprise,"Normalisation, qualité, agréments, autorisations et licences",https://web.archive.org/web/20201128194732/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/sou_theme/2/169/18,Demander l'autorisation d'ouvrir une école privée,https://web.archive.org/web/20200216201518/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/2/166/18/169
1612634827-1907,https://web.archive.org/web/20201128194732/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/theme/2/18,Activités de l'entreprise,"Normalisation, qualité, agréments, autorisations et licences",https://web.archive.org/web/20201128194732/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/sou_theme/2/169/18,Demander l'autorisation d'ouvrir un cabinet paramédical privé,https://web.archive.org/web/20200216201518/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/2/118/18/169
1612634827-1906,https://web.archive.org/web/20201128194732/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/theme/2/18,Activités de l'entreprise,"Normalisation, qualité, agréments, autorisations et licences",https://web.archive.org/web/20201128194732/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/sou_theme/2/169/18,Demander l'autorisation d'ouvrir un cabinet médical à titre privé,https://web.archive.org/web/20200216201518/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/2/96/18/169
1612634827-1905,https://web.archive.org/web/20201128194732/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/theme/2/18,Activités de l'entreprise,"Normalisation, qualité, agréments, autorisations et licences",https://web.archive.org/web/20201128194732/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/sou_theme/2/169/18,Demander l'autorisation d'ouvrir une auto-école,https://web.archive.org/web/20200216201518/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/2/77/18/169
1612634827-1904,https://web.archive.org/web/20201128194732/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/theme/2/18,Activités de l'entreprise,"Normalisation, qualité, agréments, autorisations et licences",https://web.archive.org/web/20201128194732/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/sou_theme/2/169/18,Demander un certificat de salubrité,https://web.archive.org/web/20200216201518/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/2/114/18/169
1612634827-1903,https://web.archive.org/web/20201128194732/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/theme/2/18,Activités de l'entreprise,"Normalisation, qualité, agréments, autorisations et licences",https://web.archive.org/web/20201128194732/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/sou_theme/2/169/18,Déclarer une entreprise à l’Inspection du Travail et auprès des institutions sociales.,https://web.archive.org/web/20200216201518/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/2/1149/18/169
1612634827-1902,https://web.archive.org/web/20201128194732/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/theme/2/18,Activités de l'entreprise,"Normalisation, qualité, agréments, autorisations et licences",https://web.archive.org/web/20201128194732/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/sou_theme/2/169/18,Faire la déclaration annuelle de la situation de son entreprise à l’Inspection du Travail,https://web.archive.org/web/20200216201518/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/2/1147/18/169
1612634827-1901,https://web.archive.org/web/20201128194732/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/theme/2/18,Activités de l'entreprise,"Normalisation, qualité, agréments, autorisations et licences",https://web.archive.org/web/20201128194732/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/sou_theme/2/169/18,Demander à bénéficier de services ou conseils d’un notaire pour l’établissement d’une procuration,https://web.archive.org/web/20200216201518/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/2/1082/18/169
1612634827-1900,https://web.archive.org/web/20201128194732/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/theme/2/18,Activités de l'entreprise,"Normalisation, qualité, agréments, autorisations et licences",https://web.archive.org/web/20201128194732/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/sou_theme/2/169/18,Devenir exploitant forestier,https://web.archive.org/web/20200216201518/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/2/1065/18/169
1612634827-1899,https://web.archive.org/web/20201128194732/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/theme/2/18,Activités de l'entreprise,"Normalisation, qualité, agréments, autorisations et licences",https://web.archive.org/web/20201128194732/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/sou_theme/2/169/18,Demander à l’autorité de régulation des télécommunications et des postes du Sénégal une fréquence pour l’exploitation d’une station de radiodiffusion sonore FM,https://web.archive.org/web/20200216201518/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/2/1055/18/169
1612634827-1898,https://web.archive.org/web/20201128194732/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/theme/2/18,Activités de l'entreprise,"Normalisation, qualité, agréments, autorisations et licences",https://web.archive.org/web/20201128194732/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/sou_theme/2/169/18,Demander à l’autorité de régulation des télécommunications et des postes du Sénégal  un agrément en vue de l’importation de matériel de télécommunications,https://web.archive.org/web/20200216201518/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/2/1054/18/169
1612634827-1897,https://web.archive.org/web/20201128194732/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/theme/2/18,Activités de l'entreprise,"Normalisation, qualité, agréments, autorisations et licences",https://web.archive.org/web/20201128194732/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/sou_theme/2/169/18,Demander une autorisation d’installer une carrière ou une mine dans une forêt classée,https://web.archive.org/web/20200216201518/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/2/1053/18/169
1612634827-1896,https://web.archive.org/web/20201128194732/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/theme/2/18,Activités de l'entreprise,"Normalisation, qualité, agréments, autorisations et licences",https://web.archive.org/web/20201128194732/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/sou_theme/2/169/18,Demander à l’autorité de régulation des télécommunications et des postes (ARTP) du Sénégal une autorisation d’exploitation d’un réseau radioélectrique du service radioamateur,https://web.archive.org/web/20200216201518/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/2/1052/18/169
1612634827-1895,https://web.archive.org/web/20201128194732/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/theme/2/18,Activités de l'entreprise,"Normalisation, qualité, agréments, autorisations et licences",https://web.archive.org/web/20201128194732/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/sou_theme/2/169/18,Demander à l’autorité de régulation des télécommunications et des postes du Sénégal (ARTP) un agrément d’installeur d’équipements radioélectriques,https://web.archive.org/web/20200216201518/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/2/1051/18/169
1612634827-1894,https://web.archive.org/web/20201128194732/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/theme/2/18,Activités de l'entreprise,"Normalisation, qualité, agréments, autorisations et licences",https://web.archive.org/web/20201128194732/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/sou_theme/2/169/18,Demander  à l’autorité de régulation des télécommunications et des postes du Sénégal l’attribution d’un numéro MMSI (identité du service mobile maritime) pour navire,https://web.archive.org/web/20200216201518/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/2/1050/18/169
1612634827-1893,https://web.archive.org/web/20201128194732/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/theme/2/18,Activités de l'entreprise,"Normalisation, qualité, agréments, autorisations et licences",https://web.archive.org/web/20201128194732/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/sou_theme/2/169/18,Demander une autorisation de collecte et de stockage des batteries usagées,https://web.archive.org/web/20200216201518/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/2/1049/18/169
1612634827-1892,https://web.archive.org/web/20201128194732/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/theme/2/18,Activités de l'entreprise,"Normalisation, qualité, agréments, autorisations et licences",https://web.archive.org/web/20201128194732/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/sou_theme/2/169/18,Faire une déclaration d’intention d’ouverture du service à valeur ajoutée utilisant les capacités disponibles des réseaux de  télécommunications ouverts au public,https://web.archive.org/web/20200216201518/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/2/1048/18/169
1612634827-1891,https://web.archive.org/web/20201128194732/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/theme/2/18,Activités de l'entreprise,"Normalisation, qualité, agréments, autorisations et licences",https://web.archive.org/web/20201128194732/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/sou_theme/2/169/18,Demander à obtenir une licence d’exploitation en matière de télécommunication au Sénégal (les opérateurs de télécommunications),https://web.archive.org/web/20200216201518/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/2/1045/18/169
1612634827-1890,https://web.archive.org/web/20201128194732/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/theme/2/18,Activités de l'entreprise,"Normalisation, qualité, agréments, autorisations et licences",https://web.archive.org/web/20201128194732/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/sou_theme/2/169/18,Demander une autorisation d’importation d’une quantité d’hydrocarbures pour une période déterminée,https://web.archive.org/web/20200216201518/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/2/1044/18/169
1612634827-1889,https://web.archive.org/web/20201128194732/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/theme/2/18,Activités de l'entreprise,"Normalisation, qualité, agréments, autorisations et licences",https://web.archive.org/web/20201128194732/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/sou_theme/2/169/18,Demander une licence de stockage d’hydrocarbures raffinés,https://web.archive.org/web/20200216201518/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/2/1043/18/169
1612634827-1888,https://web.archive.org/web/20201128194732/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/theme/2/18,Activités de l'entreprise,"Normalisation, qualité, agréments, autorisations et licences",https://web.archive.org/web/20201128194732/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/sou_theme/2/169/18,Demander une licence de distribution d’hydrocarbures raffinés,https://web.archive.org/web/20200216201518/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/2/1042/18/169
1612634827-1887,https://web.archive.org/web/20201128194732/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/theme/2/18,Activités de l'entreprise,"Normalisation, qualité, agréments, autorisations et licences",https://web.archive.org/web/20201128194732/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/sou_theme/2/169/18,Demander un agrément de transport d’hydrocarbures raffinés,https://web.archive.org/web/20200216201518/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/2/1036/18/169
1612634827-1886,https://web.archive.org/web/20201128194732/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/theme/2/18,Activités de l'entreprise,"Normalisation, qualité, agréments, autorisations et licences",https://web.archive.org/web/20201128194732/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/sou_theme/2/169/18,Demander une licence d’importation d’hydrocarbures raffinés,https://web.archive.org/web/20200216201518/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/2/1035/18/169
1612634827-1885,https://web.archive.org/web/20201128194732/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/theme/2/18,Activités de l'entreprise,"Normalisation, qualité, agréments, autorisations et licences",https://web.archive.org/web/20201128194732/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/sou_theme/2/169/18,S’inscrire  à l’Ordre des docteurs vétérinaires du Sénégal,https://web.archive.org/web/20200216201518/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/2/1024/18/169
1612634827-1884,https://web.archive.org/web/20201128194732/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/theme/2/18,Activités de l'entreprise,"Normalisation, qualité, agréments, autorisations et licences",https://web.archive.org/web/20201128194732/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/sou_theme/2/169/18,Comment renoncer au permis de recherche minière,https://web.archive.org/web/20200216201518/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/2/1016/18/169
1612634827-1883,https://web.archive.org/web/20201128194732/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/theme/2/18,Activités de l'entreprise,"Normalisation, qualité, agréments, autorisations et licences",https://web.archive.org/web/20201128194732/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/sou_theme/2/169/18,Demander la prorogation du permis de recherche minière,https://web.archive.org/web/20200216201518/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/2/1015/18/169
1612634827-1882,https://web.archive.org/web/20201128194732/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/theme/2/18,Activités de l'entreprise,"Normalisation, qualité, agréments, autorisations et licences",https://web.archive.org/web/20201128194732/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/sou_theme/2/169/18,Demander le  renouvellement de permis de recherche minière,https://web.archive.org/web/20200216201518/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/2/1014/18/169
1612634827-1881,https://web.archive.org/web/20201128194732/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/theme/2/18,Activités de l'entreprise,"Normalisation, qualité, agréments, autorisations et licences",https://web.archive.org/web/20201128194732/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/sou_theme/2/169/18,Demander un branchement eau à la SDE : cas d’une personne morale,https://web.archive.org/web/20200216201518/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/2/928/18/169
1612634827-1880,https://web.archive.org/web/20201128194732/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/theme/2/18,Activités de l'entreprise,"Normalisation, qualité, agréments, autorisations et licences",https://web.archive.org/web/20201128194732/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/sou_theme/2/169/18,Demander l’enregistrement d’un nom commercial,https://web.archive.org/web/20200216201518/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/2/927/18/169
1612634827-1879,https://web.archive.org/web/20201128194732/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/theme/2/18,Activités de l'entreprise,"Normalisation, qualité, agréments, autorisations et licences",https://web.archive.org/web/20201128194732/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/sou_theme/2/169/18,Demander l’enregistrement d’un dessin ou d’un modèle industriel,https://web.archive.org/web/20200216201518/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/2/924/18/169
1612634827-1878,https://web.archive.org/web/20201128194732/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/theme/2/18,Activités de l'entreprise,"Normalisation, qualité, agréments, autorisations et licences",https://web.archive.org/web/20201128194732/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/sou_theme/2/169/18,Demander un certificat d’enregistrement de modèle d’utilité,https://web.archive.org/web/20200216201518/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/2/922/18/169
