categorie1,categorie2,categorie3,href
Argent,"Impôts, taxes et douanes",S’acquitter des droits de timbre sur états,https://web.archive.org/web/20201021182219/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/745/1/1
Argent,"Impôts, taxes et douanes",Demander un remboursement d'impôts indirects,https://web.archive.org/web/20201021182219/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/622/1/1
Argent,"Impôts, taxes et douanes",Demander une attestation de quotient familial,https://web.archive.org/web/20201021182219/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/619/1/1
Argent,"Impôts, taxes et douanes",Demander une diminution de parts pour les agents de l'Etat,https://web.archive.org/web/20201021182219/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/618/1/1
Argent,"Impôts, taxes et douanes",Demander un remboursement d’impôts directs,https://web.archive.org/web/20201021182219/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/614/1/1
Argent,"Impôts, taxes et douanes",Demander un remboursement d’impôts directs,https://web.archive.org/web/20201021182219/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/614/1/1
Argent,"Impôts, taxes et douanes",Demander un remboursement d’impôts directs,https://web.archive.org/web/20201021182219/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/614/1/1
Argent,"Impôts, taxes et douanes",Demander un remboursement d’impôts directs,https://web.archive.org/web/20201021182219/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/614/1/1
Argent,"Impôts, taxes et douanes",Faire une déclaration de revenus fonciers,https://web.archive.org/web/20201021182219/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/591/1/1
Argent,"Impôts, taxes et douanes",S'acquitter de la taxe publicitaire,https://web.archive.org/web/20201021182219/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/571/1/1
Argent,"Impôts, taxes et douanes",Demander une remise gracieuse d’impôt,https://web.archive.org/web/20201021182219/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/532/1/1
Argent,"Impôts, taxes et douanes",Demander un remboursement d'impôts,https://web.archive.org/web/20201021182219/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/528/1/1
Argent,"Impôts, taxes et douanes","Demander l’assiette de l’impôt sur le foncier bâti, le foncier non bâti, la contribution globale unique (CGU), la taxe d’enlèvement des ordures ménagères (TEOM) et les autres impôts directs",https://web.archive.org/web/20201021182219/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/527/1/1
Argent,"Impôts, taxes et douanes",Obtenir un visa en exonération de la taxe sur la valeur ajoutée (TVA),https://web.archive.org/web/20201021182219/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/508/1/1
Argent,"Impôts, taxes et douanes",Payer la taxe d'enlèvement des ordures ménagères (TEOM),https://web.archive.org/web/20201021182219/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/507/1/1
Argent,"Impôts, taxes et douanes",Déclarer ses revenus,https://web.archive.org/web/20201021182219/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/506/1/1
Argent,"Impôts, taxes et douanes",Payer une taxe auprès du receveur des domaines,https://web.archive.org/web/20201021182219/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/505/1/1
Argent,"Impôts, taxes et douanes",S'acquitter du paiement de la quittance correspondant au timbre du passeport,https://web.archive.org/web/20201021182219/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/504/1/1
Argent,"Impôts, taxes et douanes",Demander une attestation d'imposition à la contribution foncière des propriétés bâties (CFBT) et à la taxe d'enlèvement des ordures ménagères (TEOM).,https://web.archive.org/web/20201021182219/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/403/1/1
Argent,"Impôts, taxes et douanes",Demander une prise en charge des taxes et droits de douane,https://web.archive.org/web/20201021182219/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/232/1/1
Argent,"Assurances, achats, abonnements et factures",Comment faire une réclamation suivie d’un étalonnage de compteur à la Sénégalaise Des Eaux (SDE),https://web.archive.org/web/20200815202547/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/932/1/3
Argent,"Assurances, achats, abonnements et factures",Demander une résiliation de contrat d’abonnement d’eau à la  Sénégalaise des Eaux (SDE),https://web.archive.org/web/20200815202547/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/931/1/3
Argent,"Assurances, achats, abonnements et factures",Demander un branchement social à la SDE,https://web.archive.org/web/20200815202547/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/930/1/3
Argent,"Assurances, achats, abonnements et factures",Demander un branchement eau à la SDE : cas d’une personne physique,https://web.archive.org/web/20200815202547/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/929/1/3
Argent,"Assurances, achats, abonnements et factures",Demander un branchement eau à la SDE : cas d’une personne morale,https://web.archive.org/web/20200815202547/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/928/1/3
Argent,"Assurances, achats, abonnements et factures",Comment devenir agent général d’assurance,https://web.archive.org/web/20200815202547/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/920/1/3
Argent,"Assurances, achats, abonnements et factures",S’acquitter des droits de timbre sur états,https://web.archive.org/web/20200815202547/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/745/1/3
Argent,"Assurances, achats, abonnements et factures",Comment obtenir l'aide d'un médiateur financier,https://web.archive.org/web/20200815202547/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/669/1/3
Argent,"Assurances, achats, abonnements et factures",Demander la fourniture d'électricité à la Sénélec,https://web.archive.org/web/20200815202547/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/421/1/3
Argent,"Banque, crédit et épargne",Obtenir des informations sur la qualité des services offerts par les institutions financières au Sénégal,https://web.archive.org/web/20201022121853/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/1172/1/5
Argent,"Banque, crédit et épargne",Bénéficier du refinancement et du fonds de garantie au Fonds de Promotion Economique,https://web.archive.org/web/20201022121853/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/1140/1/5
Argent,"Banque, crédit et épargne",Bénéficier d’un financement participatif du Fonds de Promotion Economique (FPE),https://web.archive.org/web/20201022121853/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/1139/1/5
Argent,"Banque, crédit et épargne",Faire un cautionnement pour soumissionner à un marché public à la Caisse des Dépôts et Consignations (CDC),https://web.archive.org/web/20201022121853/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/1132/1/5
Argent,"Banque, crédit et épargne",Accéder à un micro-crédit du Fonds de Développement et de Solidarité Municipal  (FODEM),https://web.archive.org/web/20201022121853/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/862/1/5
Argent,"Banque, crédit et épargne",Comment bénéficier de la convention de garantie Fonds national de promotion de la jeunesse / Banque régionale de solidarité,https://web.archive.org/web/20201022121853/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/786/1/5
Argent,"Banque, crédit et épargne",Demander un virement de salaire à la banque,https://web.archive.org/web/20201022121853/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/775/1/5
Argent,"Banque, crédit et épargne",Demander une inscription en hypothèque ou autre cause d’indisponibilité,https://web.archive.org/web/20201022121853/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/744/1/5
Argent,"Banque, crédit et épargne",Comment obtenir l'aide d'un médiateur financier,https://web.archive.org/web/20201022121853/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/669/1/5
Argent,"Banque, crédit et épargne",Demander l’autorisation de nantir un logement SN-HLM ou une parcelle assainie,https://web.archive.org/web/20201022121853/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/648/1/5
Argent,"Banque, crédit et épargne",Demander un visa de domiciliation de salaire,https://web.archive.org/web/20201022121853/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/516/1/5
Argent,"Banque, crédit et épargne",Demander un financement du Fonds national de promotion de l'entreprenariat féminin,https://web.archive.org/web/20201022121853/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/485/1/5
Argent,"Banque, crédit et épargne",Demander une attestation d'apport à la Société nationale des habitations à loyer modéré (SN-HLM),https://web.archive.org/web/20201022121853/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/274/1/5
Argent,"Banque, crédit et épargne",Demander une cession volontaire sur salaire,https://web.archive.org/web/20201022121853/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/243/1/5
Argent,"Banque, crédit et épargne",Souscrire aux bons du trésor,https://web.archive.org/web/20201022121853/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/237/1/5
Argent,"Banque, crédit et épargne",Demander une attestation d'inscription dans un programme immobilier de la SICAP SA,https://web.archive.org/web/20201022121853/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/230/1/5
Argent,"Banque, crédit et épargne",Demander un prêt immobilier à la direction de la Monnaie et du Crédit (DMC),https://web.archive.org/web/20201022121853/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/186/1/5
Argent,"Héritage, hérédité et tutelle",Demander à bénéficier de services ou conseils d’un notaire pour  le règlement d’une succession,https://web.archive.org/web/20200815185459/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/1090/1/9
Argent,"Héritage, hérédité et tutelle",Demander à bénéficier des services ou conseils d’un notaire pour la donation entre vifs,https://web.archive.org/web/20200815185459/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/1074/1/9
Argent,"Héritage, hérédité et tutelle","Demander à bénéficier de services ou conseils d’un notaire pour la rédaction, l’enregistrement et la conservation d’un testament",https://web.archive.org/web/20200815185459/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/1071/1/9
Argent,"Héritage, hérédité et tutelle",Enregistrer les mutations par décès d’immeubles ou de comptes bancaires.,https://web.archive.org/web/20200815185459/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/747/1/9
Argent,"Héritage, hérédité et tutelle",Demander un procès verbal d'ouverture de testament,https://web.archive.org/web/20200815185459/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/627/1/9
Argent,"Héritage, hérédité et tutelle",Demander une autorisation de vente  d'un bien appartenant à un mineur ou à un majeur incapable,https://web.archive.org/web/20200815185459/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/626/1/9
Argent,"Héritage, hérédité et tutelle",Demander un procès verbal de renonciation à succession,https://web.archive.org/web/20200815185459/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/624/1/9
Argent,"Héritage, hérédité et tutelle",Demander une mutation par décès d’un immeuble immatriculé (titre foncier),https://web.archive.org/web/20200815185459/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/620/1/9
Argent,"Héritage, hérédité et tutelle",Demander une pension de veuve ou un capital décès pour les épouses de militaires décédés,https://web.archive.org/web/20200815185459/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/463/1/9
Argent,"Héritage, hérédité et tutelle",Rédiger un testament,https://web.archive.org/web/20200815185459/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/363/1/9
Argent,"Héritage, hérédité et tutelle",Faire une donation entre vifs,https://web.archive.org/web/20200815185459/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/362/1/9
Argent,"Héritage, hérédité et tutelle",Demander une homologation du procès-verbal de partage de succession,https://web.archive.org/web/20200815185459/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/361/1/9
Argent,"Héritage, hérédité et tutelle",Demander un partage successoral,https://web.archive.org/web/20200815185459/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/360/1/9
Argent,"Héritage, hérédité et tutelle",Demander un jugement d'hérédité,https://web.archive.org/web/20200815185459/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/359/1/9
Argent,"Héritage, hérédité et tutelle",Demander une curatelle,https://web.archive.org/web/20200815185459/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/358/1/9
Argent,"Héritage, hérédité et tutelle",Demander la tutelle d'un enfant,https://web.archive.org/web/20200815185459/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/357/1/9
Argent,"Héritage, hérédité et tutelle",Demander un certificat d'administration légale,https://web.archive.org/web/20200815185459/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/356/1/9
Argent,"Héritage, hérédité et tutelle",Demander une délégation de puissance paternelle,https://web.archive.org/web/20200815185459/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/355/1/9
Argent,"Héritage, hérédité et tutelle",Demander un bulletin de décès,https://web.archive.org/web/20200815185459/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/312/1/9
Argent,Autres,Bénéficier d’une subvention de la Ville de Dakar pour un lieu de culte,https://web.archive.org/web/20200815191322/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/861/1/8
Argent,Autres,"Bénéficier d’une subvention de la Ville de Dakar pour une ASC, une zone ou de l’ODCAV",https://web.archive.org/web/20200815191322/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/859/1/8
Argent,Autres,Faire une donation entre vifs,https://web.archive.org/web/20200815191322/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/362/1/8
"Citoyenneté, justice et sécurité",Etat civil,Demander un certificat de coutume,https://web.archive.org/web/20201128200031/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/259/2/56
"Citoyenneté, justice et sécurité",Etat civil,Demander l'enregistrement d'un mariage constaté,https://web.archive.org/web/20201128200031/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/258/2/56
"Citoyenneté, justice et sécurité",Etat civil,Demander un certificat de non divorce et de non séparation de corps,https://web.archive.org/web/20201128200031/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/255/2/56
"Citoyenneté, justice et sécurité",Etat civil,Demander un certificat de vie collectif,https://web.archive.org/web/20201128200031/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/250/2/56
"Citoyenneté, justice et sécurité",Etat civil,Demander un certificat de non mariage et de non remariage,https://web.archive.org/web/20201128200031/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/254/2/56
"Citoyenneté, justice et sécurité",Etat civil,Demander un certificat de célibat,https://web.archive.org/web/20201128200031/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/246/2/56
"Citoyenneté, justice et sécurité",Etat civil,Demander un certificat de vie individuel,https://web.archive.org/web/20201128200031/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/247/2/56
"Citoyenneté, justice et sécurité",Etat civil,"Demander la transcription d’un acte d’état civil (acte de naissance, acte de mariage, acte de décès) auprès des services consulaires",https://web.archive.org/web/20201128200031/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/683/2/56
"Citoyenneté, justice et sécurité",Etat civil,Faire la déclaration tardive d'un mariage coutumier,https://web.archive.org/web/20201128200031/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/448/2/56
"Citoyenneté, justice et sécurité",Etat civil,Demander un certificat de mariage,https://web.archive.org/web/20201128200031/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/447/2/56
"Citoyenneté, justice et sécurité",Etat civil,Demander la célébration d'un mariage,https://web.archive.org/web/20201128200031/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/446/2/56
"Citoyenneté, justice et sécurité",Etat civil,Contester une filiation maternelle,https://web.archive.org/web/20201128200031/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/436/2/56
"Citoyenneté, justice et sécurité",Etat civil,Demander un certificat de divorce,https://web.archive.org/web/20201128200031/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/429/2/56
"Citoyenneté, justice et sécurité",Etat civil,Demander une copie littérale d’acte de naissance,https://web.archive.org/web/20201128200031/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/428/2/56
"Citoyenneté, justice et sécurité",Etat civil,Demander une curatelle,https://web.archive.org/web/20201128200031/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/358/2/56
"Citoyenneté, justice et sécurité",Etat civil,Demander une indication en paternité,https://web.archive.org/web/20201128200031/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/351/2/56
"Citoyenneté, justice et sécurité",Etat civil,Initier une procédure en divorce,https://web.archive.org/web/20201128200031/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/345/2/56
"Citoyenneté, justice et sécurité",Etat civil,Demander au juge la rectification d'un acte d'état civil pour erreur ou omission,https://web.archive.org/web/20201128200031/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/343/2/56
"Citoyenneté, justice et sécurité",Etat civil,Demander un jugement d'autorisation d'inscription tardive de mariage,https://web.archive.org/web/20201128200031/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/342/2/56
"Citoyenneté, justice et sécurité",Etat civil,Demander la nationalité sénégalaise par filiation (ou d'origine),https://web.archive.org/web/20201128200031/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/340/2/56
"Citoyenneté, justice et sécurité",Etat civil,Demander la nationalité sénégalaise par voie de mariage,https://web.archive.org/web/20201128200031/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/339/2/56
"Citoyenneté, justice et sécurité",Etat civil,Opter pour la nationalité sénégalaise,https://web.archive.org/web/20201128200031/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/335/2/56
"Citoyenneté, justice et sécurité",Etat civil,Demander l'adoption plénière d'un enfant,https://web.archive.org/web/20201128200031/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/333/2/56
"Citoyenneté, justice et sécurité",Etat civil,Demander un jugement d'autorisation d'inscription tardive de décès,https://web.archive.org/web/20201128200031/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/330/2/56
"Citoyenneté, justice et sécurité",Etat civil,Déclarer un décès,https://web.archive.org/web/20201128200031/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/329/2/56
"Citoyenneté, justice et sécurité",Etat civil,Enregistrer une reconnaissance d’enfant,https://web.archive.org/web/20201128200031/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/327/2/56
"Citoyenneté, justice et sécurité",Etat civil,Demander un jugement d'autorisation d'inscription de naissance,https://web.archive.org/web/20201128200031/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/325/2/56
"Citoyenneté, justice et sécurité",Etat civil,Déclarer une naissance,https://web.archive.org/web/20201128200031/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/324/2/56
"Citoyenneté, justice et sécurité",Etat civil,Demander un certificat de non inscription de décès,https://web.archive.org/web/20201128200031/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/314/2/56
"Citoyenneté, justice et sécurité",Etat civil,Demander un extrait du registre des actes de décès,https://web.archive.org/web/20201128200031/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/313/2/56
"Citoyenneté, justice et sécurité",Etat civil,Demander un bulletin de décès,https://web.archive.org/web/20201128200031/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/312/2/56
"Citoyenneté, justice et sécurité",Etat civil,Demander une copie littérale d'acte de mariage,https://web.archive.org/web/20201128200031/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/311/2/56
"Citoyenneté, justice et sécurité",Etat civil,Demander une copie littérale d’acte de décès,https://web.archive.org/web/20201128200031/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/310/2/56
"Citoyenneté, justice et sécurité",Etat civil,Demander un extrait du registre des actes de naissance,https://web.archive.org/web/20201128200031/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/309/2/56
"Citoyenneté, justice et sécurité",Etat civil,Demander un bulletin de naissance,https://web.archive.org/web/20201128200031/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/308/2/56
"Citoyenneté, justice et sécurité",Etat civil,Demander un extrait du registre des actes de mariage,https://web.archive.org/web/20201128200031/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/307/2/56
"Citoyenneté, justice et sécurité",Etat civil,Demander un certificat de non inscription de naissance,https://web.archive.org/web/20201128200031/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/305/2/56
"Citoyenneté, justice et sécurité",Etat civil,Demander un certificat de non inscription de mariage,https://web.archive.org/web/20201128200031/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/304/2/56
"Citoyenneté, justice et sécurité",Etat civil,Demander un passeport de réfugié,https://web.archive.org/web/20201128200031/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/86/2/56
"Citoyenneté, justice et sécurité","Sécurité, assistance et urgences",Saisir le Fonds de garantie automobile (FGA) en cas d’accident corporel de la circulation routière,https://web.archive.org/web/20201021155919/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/1174/2/67
"Citoyenneté, justice et sécurité","Sécurité, assistance et urgences",Demander un extrait de sortie de secours (ESS) de la  Brigade nationale des sapeurs-pompiers,https://web.archive.org/web/20201021155919/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/1040/2/67
"Citoyenneté, justice et sécurité","Sécurité, assistance et urgences",Solliciter l’intervention de la Brigade nationale des sapeurs pompiers à l’occasion de rencontres internationales,https://web.archive.org/web/20201021155919/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/1039/2/67
"Citoyenneté, justice et sécurité","Sécurité, assistance et urgences",Solliciter l’intervention de la Brigade nationale des sapeurs pompiers à l’occasion de manifestations sportives et culturelles,https://web.archive.org/web/20201021155919/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/1038/2/67
"Citoyenneté, justice et sécurité","Sécurité, assistance et urgences",Solliciter l’intervention de la Brigade nationale des sapeurs pompiers à l’occasion de rencontres internationales,https://web.archive.org/web/20201021155919/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/1037/2/67
"Citoyenneté, justice et sécurité","Sécurité, assistance et urgences",Demander à s'inscrire pour le recrutement des Sapeurs Pompiers,https://web.archive.org/web/20201021155919/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/1034/2/67
"Citoyenneté, justice et sécurité","Sécurité, assistance et urgences",Bénéficier d’une prise en charge médicale de la Ville de Dakar,https://web.archive.org/web/20201021155919/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/858/2/67
"Citoyenneté, justice et sécurité","Sécurité, assistance et urgences",Bénéficier d’un financement du Programme d’appui aux familles en situation d’extrême pauvreté (PAFSEP),https://web.archive.org/web/20201021155919/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/857/2/67
"Citoyenneté, justice et sécurité","Sécurité, assistance et urgences",Bénéficier d’un secours d’indigence de la Ville de Dakar,https://web.archive.org/web/20201021155919/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/856/2/67
"Citoyenneté, justice et sécurité","Sécurité, assistance et urgences",Demander à élaguer un arbre,https://web.archive.org/web/20201021155919/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/812/2/67
"Citoyenneté, justice et sécurité","Sécurité, assistance et urgences","Demander la désinfection, la désinsectisation et ou la dératisation de locaux ou domicile",https://web.archive.org/web/20201021155919/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/736/2/67
"Citoyenneté, justice et sécurité","Sécurité, assistance et urgences",S'inscrire aux concours de sous-officier de paix de la police,https://web.archive.org/web/20201021155919/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/554/2/67
